1, 0.132629 0.098844 0.255438 0.216235 0.296855;
2, 0.135713 0.098844 0.252743 0.215096 0.296855;
3, 0.137916 0.098339 0.249891 0.214698 0.298109;
4, 0.140368 0.097754 0.245965 0.21438 0.299741;
5, 0.142952 0.097583 0.241739 0.213748 0.301705;
6, 0.145358 0.09769 0.23759 0.21285 0.303871;
7, 0.147671 0.097826 0.233822 0.211858 0.306375;
8, 0.149165 0.098073 0.2301 0.211429 0.308576;
9, 0.149576 0.098383 0.226436 0.211804 0.310923;
10, 0.149082 0.098631 0.222792 0.212843 0.313553;
11, 0.148147 0.09876 0.219269 0.214204 0.316524;
12, 0.147276 0.098723 0.215577 0.215677 0.319656;
13, 0.146662 0.09861 0.211736 0.217531 0.32286;
14, 0.146266 0.098569 0.207917 0.219624 0.325502;
15, 0.145949 0.098567 0.204463 0.221769 0.327626;
16, 0.145498 0.098517 0.201419 0.223971 0.329301;
17, 0.144827 0.098339 0.199795 0.225364 0.330773;
18, 0.146249 0.099332 0.198827 0.226765 0.330682;
19, 0.147441 0.100221 0.197996 0.228059 0.327937;
20, 0.148704 0.101052 0.197168 0.229349 0.325452;
21, 0.149991 0.101671 0.196431 0.230684 0.323108;
22, 0.15105 0.102006 0.195921 0.232133 0.320888;
23, 0.151885 0.10206 0.195583 0.233587 0.318836;
24, 0.152497 0.101947 0.195496 0.234929 0.316999;
25, 0.152878 0.101735 0.195699 0.236147 0.315343;
26, 0.153092 0.101473 0.196077 0.237297 0.313803;
27, 0.153232 0.101179 0.196514 0.2384 0.312356;
28, 0.15324 0.100848 0.197137 0.239365 0.311005;
29, 0.153126 0.100504 0.1981 0.24009 0.309754;
30, 0.152906 0.100104 0.199169 0.240706 0.308579;
31, 0.152584 0.099673 0.200321 0.241264 0.307545;
32, 0.152213 0.099228 0.201485 0.241809 0.306604;
33, 0.151846 0.09879 0.202571 0.242391 0.305704;
34, 0.151444 0.098364 0.203641 0.24302 0.304828;
35, 0.150959 0.097934 0.204659 0.243682 0.303962;
36, 0.150285 0.097564 0.20581 0.244303 0.303137;
